concept:city:saigon	concept:citycapitalofcountry	concept:country:west_indies
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:tokyo
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:geneva
concept:governmentorganization:department	concept:atdate	concept:year:n1998
concept:room:lot	concept:mutualproxyfor	concept:city:new_orleans
concept:country:republic	concept:countryalsoknownas	concept:country:korea
concept:stateorprovince:sk	concept:statelocatedincountry	concept:country:canada_canada
concept:country:australia	concept:atdate	concept:dateliteral:n1980
concept:coach:stan_brock	concept:worksfor	concept:city:army
concept:stateorprovince:indiana	concept:organizationhiredperson	concept:person:knight
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:carcassonne
concept:vehicle:countries	concept:atdate	concept:dateliteral:n2008
concept:tradeunion:congress	concept:organizationhiredperson	concept:person:republican
concept:shoppingmall:central_park	concept:proxyfor	concept:lake:new
concept:visualizableattribute:minutes	concept:atlocation	concept:hotel:north
concept:country:scotland	concept:countryalsoknownas	concept:country:republic
concept:lake:new	concept:locationlocatedwithinlocation	concept:stateorprovince:store
concept:city:havana	concept:atdate	concept:dateliteral:n2002
concept:book:years	concept:atlocation	concept:stateorprovince:oregon
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:country:brazil
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:virginia
concept:musicalbum:metro_area	concept:mutualproxyfor	concept:book:new
concept:island:staff	concept:atdate	concept:dateliteral:n2006
concept:fruit:soyabean	concept:atdate	concept:agriculturalproduct:flax
concept:country:russia	concept:organizationhiredperson	concept:coach:guus_hiddink
concept:county:bay_area	concept:atdate	concept:food:pate
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:nation
concept:lake:new	concept:locationlocatedwithinlocation	concept:website:search
concept:city:broomfield	concept:mutualproxyfor	concept:stateorprovince:colorado
concept:country:east_timor	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:stateorprovince:indiana	concept:organizationhiredperson	concept:coach:hoeppner
concept:city:flagstaff	concept:proxyfor	concept:stateorprovince:arizona
concept:stateorprovince:south_carolina	concept:mutualproxyfor	concept:city:greenville
concept:county:paris	concept:atdate	concept:year:n1778
concept:country:indonesia	concept:atdate	concept:dateliteral:n2006
concept:musicinstrument:base	concept:mutualproxyfor	concept:book:new
concept:country:dominican_republic	concept:proxyfor	concept:lake:new
concept:disease:crohn	concept:atdate	concept:dateliteral:n1980
concept:county:seattle	concept:proxyfor	concept:coach:new
concept:vehicle:countries	concept:atdate	concept:dateliteral:n2002
concept:stateorprovince:iowa	concept:stateorprovinceisborderedbystateorprovince	concept:disease:crohn
concept:country:albania	concept:countrylocatedingeopoliticallocation	concept:continent:europe
concept:stateorprovince:man	concept:agentparticipatedinevent	concept:crimeorcharge:trafficking
concept:year:n1995	concept:proxyfor	concept:city:florida
concept:company:iran	concept:hasofficeincountry	concept:country:__america
concept:governmentorganization:office	concept:organizationacronymhasname	concept:governmentorganization:treasury
concept:city:amman	concept:atdate	concept:dateliteral:n2006
concept:visualizablething:use	concept:atdate	concept:date:n2001
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:uk
concept:city:capitola	concept:atlocation	concept:disease:crohn
concept:beverage:new	concept:atlocation	concept:building:exhibit
concept:city:home	concept:atdate	concept:date:n1958
concept:country:tanzania	concept:countrylocatedingeopoliticallocation	concept:continent:africa
concept:city:rome	concept:citylocatedinstate	concept:stateorprovince:georgia
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:company:imf
concept:country:indonesia	concept:countrylocatedingeopoliticallocation	concept:stateorprovince:southeast_asia
concept:airport:europe	concept:atdate	concept:food:pate
concept:stateorprovince:nova_scotia	concept:statelocatedingeopoliticallocation	concept:country:canada_canada
concept:city:rosemead	concept:locationlocatedwithinlocation	concept:disease:crohn
concept:bank:citizens	concept:agentactsinlocation	concept:country:south_africa
concept:governmentorganization:fbi	concept:organizationheadquarteredincity	concept:city:washington_d_c
concept:country:republic_of_nicaragua	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:latin_america
concept:city:muncie	concept:proxyfor	concept:stateorprovince:indiana
concept:website:tour	concept:atdate	concept:year:n1991
concept:city:cypress	concept:subpartof	concept:disease:crohn
concept:country:mongolia	concept:countryalsoknownas	concept:country:republic
concept:city:gulfport	concept:locationlocatedwithinlocation	concept:stateorprovince:mississippi
concept:city:springfield	concept:mutualproxyfor	concept:stateorprovince:ohio
concept:personmexico:ike_davis	concept:personbelongstoorganization	concept:stateorprovince:indiana
concept:country:republic	concept:countryalsoknownas	concept:country:egypt
concept:lake:new	concept:locationlocatedwithinlocation	concept:museum:first_place
concept:county:athens	concept:atlocation	concept:stateorprovince:alabama
concept:tradeunion:congress	concept:atdate	concept:year:n1995
concept:country:republic	concept:countryalsoknownas	concept:country:democratic_republic_of_congo
concept:city:jackson	concept:proxyfor	concept:creditunion:michigan
concept:geopoliticallocation:iraq	concept:atdate	concept:skiarea:tennessee
concept:country:qatar	concept:atdate	concept:dateliteral:n2008
concept:country:comoros	concept:countryalsoknownas	concept:country:republic
concept:country:saudis	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:stateorprovince:michigan	concept:mutualproxyfor	concept:city:midland
concept:county:student	concept:proxyfor	concept:coach:new
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:cooperation
concept:emotion:government	concept:proxyfor	concept:book:new
concept:country:cameroon	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:stateorprovince:indiana	concept:statelocatedincountry	concept:country:usa
concept:disease:crohn	concept:mutualproxyfor	concept:city:perris
concept:country:singapore	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:country:kuwait	concept:countrylocatedingeopoliticallocation	concept:country:middle
concept:stadiumoreventvenue:cumberland_county_civic_center	concept:attractionofcity	concept:city:portland
concept:city:stockholm	concept:proxyfor	concept:city:sweden
concept:country:viet_nam	concept:countrylocatedingeopoliticallocation	concept:continent:asia
concept:country:australia	concept:atdate	concept:year:n1997
concept:academicfield:pakistan	concept:atdate	concept:date:n2001
concept:country:democratic_republic_of_congo	concept:countryalsoknownas	concept:country:central_african_republic
concept:country:turkey	concept:countrylocatedingeopoliticallocation	concept:country:south_africa
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:stateorprovince:michigan
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:organization:indian
concept:building:hollywood	concept:atdate	concept:dateliteral:n2005
concept:country:guyana	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:city:army	concept:atdate	concept:dateliteral:n2002
concept:country:wales	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:landscapefeatures:beaches	concept:proxyfor	concept:lake:new
concept:skiarea:combination	concept:proxyfor	concept:book:new
concept:country:romania	concept:countryalsoknownas	concept:country:republic
concept:country:switzerland	concept:countryalsoknownas	concept:country:republic
concept:city:orange	concept:citylocatedinstate	concept:disease:crohn
concept:governmentorganization:house	concept:atdate	concept:dateliteral:n1980
concept:stateorprovince:zauchensee	concept:statelocatedincountry	concept:country:republic_of_austria
concept:nongovorganization:council	concept:atdate	concept:year:n1992
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:bush
concept:country:south_africa	concept:atdate	concept:dateliteral:n2008
concept:city:london_city	concept:atdate	concept:food:pate
concept:lake:new	concept:locationlocatedwithinlocation	concept:mountainrange:alps
concept:lake:new	concept:locationlocatedwithinlocation	concept:country:vietnam
concept:city:fort_collins_loveland	concept:agentcompeteswithagent	concept:stateorprovince:colorado
concept:geopoliticallocation:arms	concept:atdate	concept:dateliteral:n2006
concept:city:florida	concept:mutualproxyfor	concept:county:miami
concept:country:dominican_republic	concept:countryalsoknownas	concept:country:u_s_
concept:country:armenia	concept:atdate	concept:agriculturalproduct:flax
concept:city:ottawa	concept:citylocatedingeopoliticallocation	concept:country:canada_canada
concept:lake:new	concept:locationlocatedwithinlocation	concept:retailstore:times_square
concept:city:canberra_canberra	concept:atdate	concept:dateliteral:n2008
concept:city:jackson	concept:cityliesonriver	concept:attraction:grand
concept:person:iran	concept:personleadsgeopoliticalorganization	concept:country:u_n__security_council
concept:stateorprovince:georgia	concept:mutualproxyfor	concept:city:lawrenceville
concept:country:nation	concept:countrycurrency	concept:currency:dollars
concept:website:partnership	concept:proxyfor	concept:book:new
concept:book:new	concept:mutualproxyfor	concept:hallwayitem:subject
concept:stateorprovince:texas	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:south_carolina
concept:agent:start	concept:atdate	concept:dateliteral:n2005
concept:country:usa	concept:atdate	concept:dateliteral:n2006
concept:comedian:day	concept:atdate	concept:year:n1978
concept:emotion:site	concept:atdate	concept:year:n1992
concept:visualizablescene:brussels	concept:locationlocatedwithinlocation	concept:governmentorganization:european_union
concept:city:canberra_canberra	concept:atdate	concept:date:n2001
concept:website:request	concept:atdate	concept:date:n2001
concept:stateorprovince:indiana	concept:organizationterminatedperson	concept:coach:tom_crean
concept:stateorprovince:indiana	concept:subpartoforganization	concept:city:fort_collins_loveland
concept:stateorprovince:manitoba	concept:statehascapital	concept:city:winnipeg
concept:city:army	concept:subpartoforganization	concept:city:fort_collins_loveland
concept:book:new	concept:atlocation	concept:city:neighborhoods
concept:city:service	concept:subpartof	concept:river:state
concept:city:greenville	concept:cityliesonriver	concept:attraction:mississippi
concept:city:nashville	concept:proxyfor	concept:stadiumoreventvenue:sommet_center
concept:city:normal	concept:subpartof	concept:website:april_2006
concept:lake:new	concept:locationlocatedwithinlocation	concept:visualizablescene:structure
concept:transportation:citizens	concept:mutualproxyfor	concept:book:new
concept:city:taipei	concept:citylocatedingeopoliticallocation	concept:city:taiwan
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:shanghai
concept:sportsteam:germany	concept:teamplaysagainstteam	concept:sportsteam:brazil
concept:island:new_york_city_metropolitan_area	concept:locationlocatedwithinlocation	concept:bridge:world
concept:attraction:nyc	concept:locationlocatedwithinlocation	concept:geopoliticallocation:world
concept:lake:new	concept:locationlocatedwithinlocation	concept:newspaper:democrat
concept:beverage:new	concept:atlocation	concept:blog:form
concept:geopoliticallocation:district	concept:atdate	concept:dayofweek:tuesday
concept:city:moscow	concept:atdate	concept:dateliteral:n2006
concept:visualizablething:malt	concept:atdate	concept:year:n1959
concept:governmentorganization:house	concept:atdate	concept:dayofweek:tuesday
concept:city:kissimmee	concept:proxyfor	concept:city:florida
concept:country:republic	concept:countryalsoknownas	concept:country:russia
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:stateorprovince:indiana
concept:governmentorganization:house	concept:atdate	concept:dateliteral:n2005
concept:lake:new	concept:locationlocatedwithinlocation	concept:highway:niagara_falls
concept:city:example	concept:atdate	concept:food:pate
concept:nongovorganization:gop	concept:agentcollaborateswithagent	concept:politicianus:dick_cheney
concept:disease:hemophilia	concept:atdate	concept:year:n1986
concept:beverage:new	concept:atlocation	concept:park:league
concept:country:republic	concept:countryalsoknownas	concept:country:cuba
concept:country:jamaica	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:city:fort_walton_beach	concept:proxyfor	concept:city:florida
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:company:cities
concept:vehicle:journey	concept:atdate	concept:date:n2001
concept:island:operations	concept:atdate	concept:year:n1991
concept:biotechcompany:china	concept:atdate	concept:year:n1978
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:gambia
concept:actor:van_andel_arena	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:east_asia
concept:geopoliticallocation:kuwait	concept:atdate	concept:dateliteral:n2008
concept:stateorprovince:georgia	concept:mutualproxyfor	concept:city:warner_robins
concept:writer:brown	concept:persongraduatedfromuniversity	concept:university:college
concept:newspaper:business_journal	concept:organizationheadquarteredincity	concept:city:washington_d_c
concept:city:status	concept:atdate	concept:skiarea:tennessee
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:geopoliticallocation:form
concept:governmentorganization:treasury	concept:atdate	concept:dateliteral:n2006
concept:lake:new	concept:locationlocatedwithinlocation	concept:website:orange
concept:city:auckland	concept:citylocatedincountry	concept:country:new_zealand
concept:country:bahrain	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:beverage:new	concept:atlocation	concept:monument:height
concept:city:sonoma	concept:citylocatedinstate	concept:disease:crohn
concept:website:experience	concept:organizationdissolvedatdate	concept:month:july
concept:country:great_britain	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:country:gambia	concept:countryalsoknownas	concept:country:republic
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:city:hong_kong_island
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:products
concept:country:taiwan	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:island:argentina	concept:subpartof	concept:room:mls
concept:fruit:soyabean	concept:countryalsoknownas	concept:country:china
concept:person:republican	concept:personhasresidenceingeopoliticallocation	concept:county:town
concept:city:petersburg	concept:atlocation	concept:stateorprovince:virginia
concept:beverage:new	concept:atlocation	concept:transportation:story
concept:beverage:new	concept:atlocation	concept:room:centerpiece
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:czestochowa
concept:city:area	concept:atdate	concept:dateliteral:n2002
concept:country:moldova	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:county:new_london	concept:atlocation	concept:stateorprovince:connecticut
concept:lake:new	concept:locationlocatedwithinlocation	concept:geopoliticallocation:hamilton
concept:city:dallas	concept:proxyfor	concept:lake:new
concept:city:santa_cruz_das_flores	concept:proxyfor	concept:disease:crohn
concept:politicalparty:republic	concept:synonymfor	concept:geometricshape:bolivia
concept:city:holiday	concept:citylocatedinstate	concept:stateorprovince:florida
concept:politicsblog:white_house	concept:atdate	concept:dateliteral:n2008
concept:stateorprovince:puerto_rico	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:stateorprovince:western_australia	concept:atdate	concept:dateliteral:n2005
concept:lake:new	concept:locationlocatedwithinlocation	concept:politicsblog:west_coast
concept:lake:new	concept:locationlocatedwithinlocation	concept:visualizablething:residence
concept:city:la_jolla	concept:locationlocatedwithinlocation	concept:disease:crohn
concept:county:baltimore	concept:proxyfor	concept:stateorprovince:maryland
concept:profession:lawyers	concept:atdate	concept:food:pate
concept:geopoliticallocation:longview	concept:mutualproxyfor	concept:city:texas
concept:book:new	concept:atlocation	concept:city:nature
concept:city:florida	concept:mutualproxyfor	concept:visualizablescene:fort_myers
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:catholic
concept:city:members	concept:atdate	concept:dateliteral:n2005
concept:country:myanmar_burma	concept:countrylocatedingeopoliticallocation	concept:continent:asia
concept:city:florida	concept:mutualproxyfor	concept:city:titusville
concept:company:press	concept:companyeconomicsector	concept:academicfield:media
concept:visualizablescene:brussels	concept:istallerthan	concept:visualizablething:malt
concept:personmexico:ryan_whitney	concept:worksfor	concept:university:administration
concept:beverage:new	concept:atlocation	concept:room:youth
concept:city:jackson	concept:citylocatedingeopoliticallocation	concept:stateorprovince:mississippi
concept:city:albany	concept:cityliesonriver	concept:river:willamette
concept:beverage:new	concept:atlocation	concept:landscapefeatures:gulf
concept:tableitem:collection	concept:mutualproxyfor	concept:book:new
concept:city:state	concept:agentactsinlocation	concept:country:west_indies
concept:governmentorganization:department	concept:atdate	concept:year:n1992
concept:county:athens	concept:atlocation	concept:stateorprovince:tennessee
concept:country:thailand	concept:atdate	concept:skiarea:tennessee
concept:comedian:day	concept:atdate	concept:year:n1959
concept:lake:new	concept:locationlocatedwithinlocation	concept:landscapefeatures:landscape
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:north_dakota
concept:country:east_timor	concept:atdate	concept:skiarea:tennessee
concept:stateorprovince:eu	concept:subpartof	concept:vehicle:countries
concept:city:el_monte	concept:proxyfor	concept:disease:crohn
concept:city:damascus	concept:atdate	concept:food:pate
concept:city:jackson	concept:atlocation	concept:stateorprovince:new_hampshire
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:malaysia
concept:creditunion:michigan	concept:subpartoforganization	concept:city:fort_collins_loveland
concept:building:hollywood	concept:atlocation	concept:disease:crohn
concept:website:experience	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:city:uk	concept:organizationterminatedperson	concept:personasia:number
concept:county:miami	concept:agentbelongstoorganization	concept:city:fort_collins_loveland
concept:landscapefeatures:states	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:city:florida	concept:atdate	concept:dateliteral:n2008
concept:lake:new	concept:locationlocatedwithinlocation	concept:website:province
concept:country:brazil	concept:countryalsoknownas	concept:country:republic
concept:programminglanguage:services	concept:subpartof	concept:beverage:local_water
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:malta
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:alliance
concept:country:togo	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:biotechcompany:china	concept:atdate	concept:agriculturalproduct:flax
concept:city:children	concept:agentparticipatedinevent	concept:sportsgame:charges
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:geopoliticallocation:central_europe
concept:disease:hemophilia	concept:atdate	concept:dateliteral:n1912
concept:country:republic	concept:countryalsoknownas	concept:country:congo_brazzaville
concept:stateorprovince:nevada	concept:statelocatedincountry	concept:country:usa
concept:country:croatia	concept:countryalsoknownas	concept:country:former_soviet_union
concept:country:republic	concept:countryalsoknownas	concept:country:haiti
concept:country:iran	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:country:jamaica	concept:atdate	concept:dateliteral:n2005
concept:stateorprovince:massachusetts	concept:mutualproxyfor	concept:city:methuen
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:band
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:lake:northern_pacific
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:united_arab_emirates
concept:lake:new	concept:locationlocatedwithinlocation	concept:mountainrange:plants
concept:county:miami	concept:locationlocatedwithinlocation	concept:city:florida
concept:country:kuwait	concept:countrylocatedingeopoliticallocation	concept:country:south_africa
concept:county:san_diego	concept:locationlocatedwithinlocation	concept:disease:crohn
concept:stateorprovince:nevada	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:oregon
concept:country:estonia	concept:countrylocatedingeopoliticallocation	concept:continent:europe
concept:geopoliticalorganization:northern	concept:agentactsinlocation	concept:continent:asia
concept:lake:new	concept:locationlocatedwithinlocation	concept:governmentorganization:circuit
concept:male:history	concept:agentcompeteswithagent	concept:tradeunion:search
concept:beverage:new	concept:atlocation	concept:trainstation:position
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:delaware
concept:city:cathedral_city	concept:proxyfor	concept:disease:crohn
concept:stateorprovince:maryland	concept:mutualproxyfor	concept:city:laurel
concept:book:new	concept:atlocation	concept:island:society
concept:lake:new	concept:locationlocatedwithinlocation	concept:website:cost
concept:county:chicago	concept:proxyfor	concept:stadiumoreventvenue:soldier_field
concept:website:april_2006	concept:proxyfor	concept:book:new
concept:city:decatur	concept:atlocation	concept:stateorprovince:indiana
concept:country:france_france	concept:proxyfor	concept:book:new
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:tobago
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:amsterdam
concept:island:mother	concept:atdate	concept:agriculturalproduct:flax
concept:visualizablething:malt	concept:agentparticipatedinevent	concept:crimeorcharge:system
concept:comedian:day	concept:atdate	concept:politicaloffice:prez
concept:book:years	concept:atlocation	concept:geopoliticallocation:southern
concept:company:focus	concept:mutualproxyfor	concept:coach:new
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:discussion
concept:city:taiwan	concept:atdate	concept:dateliteral:n2008
concept:country:finland	concept:atdate	concept:dateliteral:n2002
concept:country:guyana	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:country:honduras	concept:atdate	concept:dateliteral:n2006
concept:country:venezuela	concept:countrylocatedingeopoliticallocation	concept:city:members
concept:visualizablescene:dana_point	concept:mutualproxyfor	concept:disease:crohn
concept:sportsequipment:travels	concept:proxyfor	concept:book:new
concept:lake:new	concept:locationlocatedwithinlocation	concept:visualizablething:parishes
concept:governmentorganization:environmental_protection_agency	concept:synonymfor	concept:governmentorganization:department
concept:coach:guus_hiddink	concept:worksfor	concept:country:russia
concept:sportsequipment:feet	concept:mutualproxyfor	concept:book:new
concept:lake:new	concept:locationlocatedwithinlocation	concept:landscapefeatures:village
concept:food:new_england	concept:mutualproxyfor	concept:book:new
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:stateorprovince:miles
concept:beverage:new	concept:atlocation	concept:transportation:two_cities
concept:visualizablescene:washington	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:british_columbia
concept:city:sweden	concept:atdate	concept:date:n1993
concept:country:argentina	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:county:paris	concept:atdate	concept:year:n1845
concept:governmentorganization:workers	concept:atdate	concept:dateliteral:n2005
concept:city:children	concept:atdate	concept:food:pate
concept:book:new	concept:atlocation	concept:bridge:new_jersey
concept:bathroomitem:firm	concept:mutualproxyfor	concept:book:new
concept:visualizablescene:brussels	concept:atdate	concept:skiarea:tennessee
concept:city:barcelona	concept:atdate	concept:date:n2001
concept:country:ghana	concept:atdate	concept:dateliteral:n2005
concept:creditunion:michigan	concept:mutualproxyfor	concept:beverage:new
concept:county:new_mexico	concept:organizationhiredperson	concept:coach:locksley
concept:musician:agencies	concept:agentbelongstoorganization	concept:landscapefeatures:states
concept:city:berlin	concept:citylocatedingeopoliticallocation	concept:country:scandinavian_countries
concept:governmentorganization:house	concept:atdate	concept:month:january
concept:biotechcompany:china	concept:atdate	concept:date:n1979
concept:county:york_county	concept:atlocation	concept:city:state
concept:blog:form	concept:agentcreated	concept:landscapefeatures:file
concept:county:sacramento	concept:atlocation	concept:disease:crohn
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:planet:southeast
concept:city:rabat	concept:citylocatedincountry	concept:country:morocco
concept:country:croatia	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:country:cuba	concept:atdate	concept:dateliteral:n2002
concept:city:south_bend	concept:locationlocatedwithinlocation	concept:stateorprovince:indiana
concept:city:moscow	concept:atdate	concept:year:n1995
concept:geopoliticallocation:law_firm	concept:atdate	concept:dateliteral:n2005
concept:city:new_delhi	concept:locationlocatedwithinlocation	concept:country:republic_of_india
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:moravskoslezsky_kraj
concept:governmentorganization:government	concept:atdate	concept:year:n1970
concept:skiarea:maine	concept:proxyfor	concept:book:new
concept:lake:new	concept:locationlocatedwithinlocation	concept:river:dinner
concept:stateorprovince:minnesota	concept:subpartof	concept:country:usa
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:geopoliticalorganization:new_england
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:ostroleka
concept:country:iraq	concept:countrylocatedingeopoliticallocation	concept:country:south_africa
concept:country:canada_canada	concept:atdate	concept:food:pate
concept:city:gillette	concept:proxyfor	concept:stateorprovince:wyoming
concept:country:republic	concept:countryalsoknownas	concept:country:croatia
concept:city:boston	concept:proxyfor	concept:city:fort_collins_loveland
concept:coach:new	concept:subpartof	concept:sportsgame:yrs
concept:city:help	concept:subpartoforganization	concept:governmentorganization:government
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:participation
concept:person:republican	concept:personhasresidenceingeopoliticallocation	concept:city:texas
concept:lake:great_lakes	concept:proxyfor	concept:lake:new
concept:stateorprovince:mississippi	concept:mutualproxyfor	concept:city:gulfport
concept:actor:van_andel_arena	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:website:april_2006	concept:mutualproxyfor	concept:city:orland_park
concept:city:tacoma	concept:proxyfor	concept:city:washington_d_c
concept:stateorprovince:indiana	concept:mutualproxyfor	concept:city:fishers
concept:city:rocklin	concept:atlocation	concept:disease:crohn
concept:country:slovenia	concept:atdate	concept:dateliteral:n2002
concept:county:philadelphia	concept:subpartof	concept:stateorprovince:pennsylvania
concept:website:request	concept:atdate	concept:dateliteral:n2006
concept:governmentorganization:house	concept:atdate	concept:dateliteral:n2008
concept:stateorprovince:ohio	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:pennsylvania
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:georgetown
concept:country:kuwait	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:arab_states
concept:country:ukraine	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:city:nebraska	concept:locationlocatedwithinlocation	concept:country:usa
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:county:chicago
concept:country:uruguay	concept:countryalsoknownas	concept:country:republic
concept:country:palestine	concept:atdate	concept:dateliteral:n2005
concept:county:chicago	concept:atdate	concept:food:pate
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:contract
concept:disease:crohn	concept:mutualproxyfor	concept:city:san_andreas
concept:stateorprovince:georgia	concept:subpartoforganization	concept:city:fort_collins_loveland
concept:country:republic	concept:countryalsoknownas	concept:country:guinea_bissau
concept:lake:new	concept:locationlocatedwithinlocation	concept:landscapefeatures:water
concept:city:example	concept:istallerthan	concept:publication:people_
concept:country:russia	concept:countrylocatedingeopoliticallocation	concept:river:counties
concept:country:communist_china	concept:countrycurrency	concept:currency:dollars
concept:book:new	concept:mutualproxyfor	concept:musicinstrument:stuff
concept:city:washington_d_c	concept:atdate	concept:dateliteral:n2002
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:cayman_islands
concept:disease:hemophilia	concept:agentcontrols	concept:agent:elizabeth
concept:city:belmont	concept:atlocation	concept:disease:crohn
concept:city:new_westminster	concept:cityliesonriver	concept:retailstore:supermarket
concept:stateorprovince:pennsylvania	concept:istallerthan	concept:publication:people_
concept:country:republic	concept:countryalsoknownas	concept:country:cameroon
concept:city:service	concept:locationlocatedwithinlocation	concept:city:u__s
concept:country:mexico	concept:atlocation	concept:city:state
concept:city:terre_haute	concept:proxyfor	concept:stateorprovince:indiana
concept:governmentorganization:governments	concept:atdate	concept:skiarea:tennessee
concept:city:pine_bluff	concept:proxyfor	concept:stateorprovince:arkansas
concept:stateorprovince:pennsylvania	concept:mutualproxyfor	concept:county:philadelphia
concept:city:milan	concept:atdate	concept:date:n2001
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:geopoliticallocation:kuwait
concept:politicalparty:republican_party	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:blog:goal	concept:atdate	concept:agriculturalproduct:flax
concept:disease:crohn	concept:agentcontrols	concept:musician:agencies
concept:country:guinea_bissau	concept:countryalsoknownas	concept:country:republic
concept:terroristorganization:group	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:book:new	concept:mutualproxyfor	concept:book:nation
concept:city:columbia	concept:cityalsoknownas	concept:city:washington_d_c
concept:website:peru	concept:proxyfor	concept:website:april_2006
concept:city:singapore	concept:atdate	concept:dateliteral:n2002
concept:geopoliticallocation:iraq	concept:atdate	concept:year:n1997
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:sweden
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:manitoba
concept:weapon:laboratory	concept:atdate	concept:food:pate
concept:city:antioch	concept:proxyfor	concept:disease:crohn
concept:personmexico:ryan_whitney	concept:personleadsorganization	concept:sportsteam:philies
concept:country:us	concept:organizationterminatedperson	concept:personasia:number
concept:country:turkey	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:beverage:new	concept:atlocation	concept:room:hour
